Supplier,Ref,Label,Qty, Price , Price Tot 
Thorlabs,LDM21,TE-Cooled Mount for Ø5.6 and Ø9.0 mm Laser Diodes with A/B/C/D/E/H Pin Codes,1, € 331.49 , € 331.49 
Thorlabs,DJ532-40,"532 nm, 40 mW, E Pin Code, DPSS Laser",1, € 176.07 , € 176.07 
Materialise,#2020-12/1,LASER CLAMP rev0 (RESIN),1, € 12.32 , € 12.32 
123Roulement,OR-5X1-NBR70,O-RING,1, € 0.47 , € 0.47 
SAM,,"DIN 7380 2-56X1/2""",2, € 0.50 , € 1.00 
