Supplier,Ref,Label,Qty, Price , Price Tot 
Thorlabs,AC127-019-A,"f = 19.0 mm, Ø1/2"" Achromatic Doublet, ARC: 400 - 700 nm",1, € 50.17 , € 50.17 
Thorlabs,LK1085L1-A,"f=-20 mm, H=15 mm, L=17 mm, N-BK7 Plano-Concave Cylindrical Lens, ARC: 350-700 nm",1, € 72.58 , € 72.58 
Thorlabs,SS4MN4,"M4 x 0.7 Nylon-Tipped Setscrew, 4 mm Long, 10 Pack",1, € 11.14 , € 11.14 
Materialise,#2020-08/0,"Cuvette Holder Body rev0 (POLYAMIDE SLS)",1, € 25.89 , € 25.89 
Materialise,#2020-09/0,"Cuvette Holder Cap rev0 (POLYAMIDE SLS)",1, € 15.75 , € 15.75 
SAM,,"10 pcs DIN 7 A1 3m6X50",1, € 3.49 , € 3.49 
SAM,,"M3 socket set screws set 150 pcs DIN 914 A2",1, € 9.90 , € 9.90 
Fiers,HC01.1,"Vials, 100 pcs",1, € 21.40 , € 21.40 
V-Coil,,"Helicoils kit M4×1.5D",1, € 25.00 , € 25.00 
